id,age,income,loan_amount,term,gender,credit_history,default
2698,62,63916,9362,6,M,0,0
2699,55,77703,3634,6,F,1,0
2700,46,51629,15251,12,F,0,0
2701,25,77748,19243,18,M,1,1
2702,49,35838,9176,24,M,1,0
2703,57,46919,13409,6,M,1,0
2704,40,48274,5868,36,M,1,0
2705,41,34358,5490,24,F,1,0
2706,30,14590,10536,24,M,0,0
2707,25,63039,6361,24,M,1,0
2708,56,36050,10481,6,M,1,0
2709,26,43987,25151,12,F,0,0
2710,46,73768,6470,6,M,0,0
2711,24,58581,11707,36,F,0,1
2712,59,76103,1207,36,F,1,0
2713,59,51807,12616,18,F,1,0
2714,55,58332,6472,6,M,1,0
2715,21,46389,11463,6,M,1,0
2716,44,37269,11329,18,F,0,0
2717,56,58276,10695,18,M,1,0
2718,26,43461,5262,24,F,0,0
2719,61,59667,8580,24,F,0,0
2720,64,41442,11178,36,M,0,0
2721,51,47369,8786,12,F,0,0
2722,40,48570,17016,36,F,1,0
2723,44,66154,10205,6,M,1,0
2724,45,43634,5035,12,F,1,0
2725,56,67804,12157,24,M,1,1
2726,41,36427,1000,18,M,0,0
2727,50,54047,19807,18,F,1,0
2728,44,39685,1396,36,F,1,1
2729,64,66736,14482,6,M,1,0
2730,62,37720,13703,6,F,0,0
2731,50,39249,4347,18,M,1,0
2732,42,31155,12797,36,F,1,0
2733,48,51545,6552,36,M,0,0
2734,27,58865,9172,24,F,0,0
2735,55,57246,12351,24,M,1,0
2736,48,47836,9758,24,F,1,0
2737,34,40091,4999,12,F,1,0
2738,30,45819,12051,36,M,1,0
2739,36,46392,8959,36,M,1,1
2740,36,53789,9446,24,F,1,0
2741,51,52757,9742,18,F,0,0
2742,62,76095,3273,24,F,1,0
2743,45,50594,4378,12,F,1,0
2744,33,55412,7054,18,M,0,1
2745,26,51071,12051,36,F,1,0
2746,64,45098,5354,12,F,1,0
2747,29,55311,15946,12,M,1,0
2748,56,43690,11008,18,F,1,0
2749,63,49126,11821,24,M,1,0
2750,40,67389,8341,24,F,0,0
2751,38,42719,2019,6,M,1,0
2752,63,55810,12659,18,M,1,1
2753,41,12779,6388,24,F,1,1
2754,24,47219,2540,12,M,1,0
2755,53,42618,5826,24,F,0,0
2756,47,51803,9601,24,M,0,0
2757,27,46456,1000,12,M,0,0
2758,26,52122,8319,18,M,0,0
2759,35,44320,15041,6,F,1,0
2760,38,55795,10159,24,F,1,0
2761,52,24280,15996,24,M,0,0
2762,31,51671,7984,24,F,1,1
2763,40,35943,15765,18,M,1,0
2764,44,67517,3291,12,M,1,0
2765,35,35701,12999,12,F,0,0
2766,27,64928,9458,12,M,0,0
2767,41,49827,16774,12,F,1,1
2768,62,22568,7938,12,M,0,0
2769,46,36855,4737,12,F,0,0
2770,64,62717,12533,24,M,0,0
2771,34,61865,18235,24,M,0,0
2772,57,30509,11180,12,M,1,0
2773,41,73442,9789,12,M,1,0
2774,38,49631,3925,18,M,1,0
2775,25,63272,14734,18,F,0,0
2776,23,31822,9741,36,F,1,0
2777,43,43160,13504,24,M,0,0
2778,46,56238,10986,12,M,1,0
2779,57,45302,20200,24,F,1,0
2780,44,6188,7212,36,F,0,0
2781,39,47138,7395,18,M,0,0
2782,45,20529,15067,36,M,1,1
2783,41,33939,15189,6,M,0,0
2784,32,28956,15348,18,M,0,0
2785,61,66988,9936,24,M,1,1
2786,53,71695,11038,18,M,0,0
2787,24,55123,3263,36,F,1,1
2788,62,46548,9195,12,M,0,0
2789,27,50425,11383,36,M,1,0
2790,42,66977,11386,36,F,1,0
2791,53,20248,6211,12,F,1,1
2792,37,33873,4503,24,F,1,0
2793,44,65060,15220,24,M,1,0
2794,54,68184,14436,18,F,1,0
2795,48,58845,8838,36,M,1,0
2796,63,34325,15162,18,F,1,0
2797,61,64843,14697,12,F,0,0
2798,59,70421,1608,6,F,1,1
2799,42,60773,9480,24,M,0,0
2800,37,12589,16693,12,F,1,0
2801,54,51868,2048,24,F,0,0
2802,26,58778,2746,18,F,1,0
2803,26,42265,13133,6,M,1,0
2804,54,52800,16461,36,M,1,0
2805,21,42298,8600,24,M,1,0
2806,30,37076,7653,36,M,1,1
2807,41,72658,1504,18,M,1,0
2808,25,53226,8508,24,F,1,1
2809,22,33410,2640,18,F,1,0
2810,42,29350,8226,36,M,1,0
2811,22,37085,16553,18,F,0,0
2812,30,37166,3527,18,F,1,1
2813,54,52197,8738,18,M,0,0
2814,36,57283,14304,12,M,0,0
2815,59,57267,6118,12,M,1,0
2816,42,38748,12039,24,F,0,0
2817,32,63809,14050,18,M,1,0
2818,44,68417,10392,18,M,0,1
2819,60,46100,10494,18,M,0,0
2820,58,34518,4510,12,F,0,0
2821,30,51504,8003,36,F,1,0
2822,55,82401,10810,18,F,0,1
2823,52,34125,1000,6,M,1,0
2824,27,42107,1000,24,F,0,0
2825,41,50861,9234,12,M,1,0
2826,40,58124,11894,36,M,1,0
2827,46,20216,10440,6,F,1,0
2828,24,69588,1894,18,M,0,0
2829,42,69384,15517,12,F,0,0
2830,35,43628,10517,18,M,1,1
2831,60,90599,14853,24,M,1,0
2832,41,68415,6806,12,F,1,0
2833,35,67616,11325,6,M,1,1
2834,42,67813,12601,36,F,1,0
2835,48,67380,15022,36,F,1,0
2836,34,49671,14599,24,M,1,0
2837,47,48185,5999,36,M,1,1
2838,61,35846,9421,36,M,1,0
2839,60,41339,7383,24,M,1,0
2840,48,45336,10714,6,M,1,0
2841,46,50981,2812,12,M,1,0
2842,22,73974,2050,12,M,1,1
2843,45,18462,21928,24,M,1,0
2844,23,70174,19676,18,M,1,0
2845,28,34821,15829,24,M,1,0
2846,64,48432,12421,24,M,1,0
2847,53,39134,13877,24,F,0,0
2848,62,77814,13890,24,M,1,0
2849,55,42500,18273,36,M,1,0
2850,26,57821,7537,36,M,0,0
2851,59,58599,6211,6,F,1,0
2852,43,32599,9924,24,M,0,1
2853,45,48548,12977,12,F,1,0
2854,63,68064,8725,18,F,0,0
2855,39,36901,7236,36,M,1,0
2856,25,62434,17186,12,M,0,0
2857,31,45033,5814,36,M,0,0
2858,32,67454,17343,6,F,1,0
2859,30,76212,14815,18,F,0,0
2860,28,19882,19559,36,F,1,0
2861,44,29927,20915,18,M,1,1
2862,48,43422,11851,18,M,0,0
2863,61,71981,20392,12,F,1,0
2864,56,57986,12526,36,F,0,0
2865,57,31328,11980,18,F,1,0
2866,41,60183,10969,24,F,1,0
2867,28,36293,7827,18,M,1,0
2868,29,63057,13798,18,M,1,0
2869,35,58084,15753,36,F,0,0
2870,60,36228,3008,24,M,1,0
2871,38,49010,22799,18,F,1,0
2872,62,68370,18122,36,F,0,0
2873,40,21619,7089,36,M,1,0
2874,26,54516,12811,18,M,1,0
2875,32,33396,9784,6,M,1,0
2876,22,49757,11664,6,F,1,0
2877,27,56866,9320,12,F,1,0
2878,36,80197,12615,6,M,1,0
2879,23,49605,4654,6,M,1,0
2880,23,71982,20950,36,M,1,0
2881,47,37392,5033,36,F,0,0
2882,63,42574,12761,18,F,1,0
2883,60,58805,6606,18,M,1,0
2884,58,53026,9218,36,M,1,0
2885,53,45073,12306,18,F,1,0
2886,48,44667,10489,36,M,1,0
2887,21,69999,10646,6,F,0,0
2888,28,45673,8159,18,M,0,0
2889,57,34687,6542,6,F,0,0
2890,52,37176,13315,12,F,0,0
2891,63,60048,5728,18,M,0,0
2892,57,83847,6751,36,M,1,0
2893,24,42140,6810,36,F,1,0
2894,50,82229,8342,12,M,1,0
2895,26,49837,2898,36,M,1,0
2896,39,45802,2975,6,M,1,0
2897,52,36345,12715,36,F,0,0
2898,29,47029,12772,12,F,0,0
2899,32,38657,11553,24,F,1,0
2900,31,37454,16875,24,M,1,0
2901,36,25219,5588,6,F,1,0
2902,21,76491,1373,24,M,1,0
2903,41,65965,13926,36,M,1,0
2904,50,54074,1265,12,F,1,0
2905,33,47839,9315,6,F,0,0
2906,54,49916,11391,24,F,1,0
2907,24,38346,20303,36,M,1,0
2908,48,32992,7266,36,M,1,0
2909,58,60761,7634,18,F,0,0
2910,51,46066,13305,18,M,1,0
2911,47,54886,13009,12,F,1,0
2912,25,25063,8283,6,F,1,1
2913,45,45268,10925,24,F,1,0
2914,23,32699,6314,24,M,1,0
2915,53,57260,12233,36,F,1,0
2916,24,64929,2031,24,F,1,0
2917,45,71895,24539,12,F,1,0
2918,40,40565,13605,18,F,1,0
2919,54,33081,4491,36,M,0,0
2920,46,43721,8660,6,M,1,0
2921,25,39510,4734,36,M,1,0
2922,55,56468,5906,24,M,0,0
2923,48,28958,11058,12,M,1,0
2924,49,23684,16957,6,M,0,0
2925,29,44803,9494,36,M,1,0
2926,58,60897,1000,24,F,0,0
2927,26,34588,6930,36,F,1,1
2928,39,62736,7259,6,M,0,0
2929,64,55480,10444,24,F,1,0
2930,31,73201,9295,18,M,0,1
2931,22,37966,1000,6,M,0,0
2932,64,25902,5375,18,F,1,0
2933,64,58978,4462,18,F,0,1
2934,29,54198,14487,24,F,1,0
2935,41,53037,8574,36,F,1,0
2936,44,34282,1000,36,M,0,0
2937,54,61627,5657,12,F,0,0
2938,42,40498,15873,6,M,0,0
2939,23,53030,7004,6,M,1,0
2940,32,43106,6603,24,F,1,0
2941,48,55315,9148,24,F,1,1
2942,50,32073,11128,12,F,1,0
2943,46,57495,9286,12,M,1,0
2944,41,59863,15115,18,M,1,0
2945,48,51739,9286,12,F,1,0
2946,46,74658,13371,36,F,1,0
2947,53,53107,10983,18,M,1,0
2948,41,63781,3534,12,F,0,0
2949,55,51386,18926,36,F,1,0
2950,54,62440,15778,36,F,0,0
2951,61,27000,7166,18,F,1,0
2952,38,50494,9444,18,F,1,0
2953,31,33095,13075,36,F,0,1
2954,43,52106,10900,24,F,0,0
2955,42,55762,10535,18,M,1,0
2956,37,62112,12528,6,F,1,0
2957,25,57348,11767,24,F,1,0
2958,64,44947,11790,6,M,1,1
2959,31,38696,10456,12,M,0,0
2960,50,14862,13194,18,F,1,0
2961,35,51032,11048,18,M,0,0
2962,47,67067,11174,36,F,1,0
2963,55,51625,16874,18,M,0,0
2964,53,48728,12167,6,M,1,0
2965,40,52145,11652,24,M,1,0
2966,36,44184,5556,12,F,1,0
2967,54,52924,5807,24,M,1,0
2968,22,43925,15708,6,F,1,1
2969,55,36516,12853,12,F,0,0
2970,60,48870,14587,36,M,1,0
2971,48,48543,10988,18,M,1,0
2972,59,78127,11987,18,F,1,1
2973,26,37914,9271,36,F,0,1
2974,29,47608,9866,6,F,0,0
2975,40,46150,7916,36,M,1,0
2976,21,43284,16668,6,F,1,0
2977,28,57696,6440,12,M,0,0
2978,43,83569,11537,24,F,0,0
2979,23,45187,9216,24,M,0,1
2980,24,57738,14759,36,F,0,0
2981,45,21314,11138,18,F,1,1
2982,58,44097,12307,36,M,1,0
2983,35,73328,11037,18,M,1,1
2984,41,49175,5039,36,M,1,0
2985,55,57535,12751,36,M,1,0
2986,34,40658,9504,24,M,1,1
2987,56,53863,6193,18,F,1,0
2988,32,74491,2945,24,M,1,0
2989,37,32598,5913,18,M,0,0
2990,59,82798,13820,12,M,0,0
2991,29,26810,18809,12,M,0,0
2992,55,42717,10591,12,M,0,0
2993,33,37461,5016,6,F,1,0
2994,35,45913,12081,24,M,0,0
2995,38,37266,15386,24,F,0,0
2996,53,36129,19606,12,M,1,1
2997,26,32198,16320,36,M,1,0
2998,47,59660,11121,24,F,1,0
2999,43,46430,12875,18,M,0,0
3000,47,42507,6386,24,M,1,1
3001,54,54233,13984,24,F,0,0
3002,58,27580,14669,18,F,1,0
3003,34,54595,1000,12,M,1,0
3004,56,48593,10713,12,F,1,0
3005,28,49054,17450,18,M,1,0
3006,55,57787,6643,24,M,0,0
3007,39,74652,1000,24,M,1,0
3008,50,54844,9861,12,F,1,0
3009,34,47001,15380,6,F,1,1
3010,40,32260,12003,12,M,1,0
3011,45,14137,10134,18,M,1,0
3012,60,51918,5371,6,F,1,0
3013,44,31105,4508,6,M,0,1
3014,34,11896,10913,18,F,1,0
3015,46,44736,9707,36,F,1,0
3016,58,53592,14262,12,F,1,0
3017,43,61164,12203,24,F,1,0
3018,42,65918,6284,12,F,0,0
3019,39,63135,11280,18,M,1,0
3020,23,63538,10452,24,F,1,0
3021,62,27978,1679,36,F,1,0
3022,39,47756,7904,18,F,1,0
3023,29,58697,10300,12,M,0,0
3024,48,50695,9433,6,F,1,0
3025,40,47672,11578,18,F,1,0
3026,27,50421,10391,18,F,1,0
3027,34,53683,11703,12,M,1,0
3028,29,48846,10834,36,M,0,0
3029,39,37305,9883,12,M,1,0
3030,34,24457,10797,12,F,1,0
3031,58,46939,8192,36,F,1,0
3032,56,50862,7921,36,M,1,0
3033,60,50698,10491,18,M,1,0
3034,37,64293,1000,6,F,1,0
3035,50,66959,8145,12,M,1,0
3036,29,48439,6469,6,M,1,1
3037,53,48547,5851,36,M,1,0
3038,45,58596,8423,36,F,1,0
3039,34,56398,3298,12,M,1,1
3040,31,43361,8447,18,M,1,0
3041,55,59885,11156,12,M,0,0
3042,61,47804,15252,18,F,0,0
3043,34,48123,20995,24,F,1,0
3044,50,56504,1000,18,M,1,0
3045,61,45482,5330,12,M,1,1
3046,24,51420,8446,12,M,1,0
3047,24,54463,10691,18,M,0,0
3048,48,62257,11822,6,M,1,0
3049,28,61222,6949,18,F,0,1
3050,22,54005,1000,24,M,1,1
3051,61,10868,15173,24,M,1,0
3052,42,53650,12513,6,F,1,0
3053,61,55968,13566,24,F,1,0
3054,36,59013,8926,12,M,1,0
3055,49,35659,11755,6,F,1,0
3056,50,18168,1000,6,F,0,0
3057,32,62092,4648,6,M,1,1
3058,55,31632,15971,18,M,1,0
3059,31,68332,10154,18,F,1,1
3060,41,41320,19346,6,M,1,1
3061,41,34592,5126,24,M,0,0
3062,25,55244,22760,12,F,0,0
3063,40,59242,23476,12,M,0,0
3064,57,58348,6775,18,F,1,1
3065,23,57524,7727,36,F,0,0
3066,64,39383,16260,6,F,1,0
3067,53,27096,7186,36,F,1,1
3068,29,44155,8671,12,F,1,0
3069,29,32814,6333,18,M,1,0
3070,24,56488,6468,18,F,1,0
3071,55,63113,10589,18,M,0,0
3072,37,52590,8631,18,M,1,1
3073,54,49985,1000,18,F,0,0
3074,44,45343,17205,6,M,0,0
3075,52,64705,17996,36,F,1,0
3076,21,22542,12561,12,F,1,0
3077,28,31907,10628,12,M,0,0
3078,43,77400,5320,18,F,1,0
3079,60,31175,7690,18,M,0,0
3080,32,57965,15445,18,M,1,0
3081,32,61051,12989,24,M,1,0
3082,35,21106,12276,12,F,1,0
3083,61,23985,12488,18,M,1,0
3084,39,68970,15312,36,F,1,1
3085,46,35405,14562,24,M,0,0
3086,49,35815,13447,6,M,1,0
3087,42,42186,8258,24,F,0,0
3088,60,35442,18421,24,M,1,0
3089,41,57894,7575,24,M,1,0
3090,58,32269,5656,36,M,1,1
3091,40,20513,7181,12,F,1,0
3092,49,67345,4043,18,F,1,0
3093,24,33006,12917,36,M,1,0
3094,27,38719,9932,36,M,0,0
3095,48,62447,15643,18,F,1,0
3096,48,51053,1000,24,F,1,0
3097,24,66685,11054,6,F,1,1
3098,42,62677,8715,24,M,1,0
3099,32,43198,8271,24,M,1,0
3100,23,65328,4796,12,F,1,0
3101,42,52516,10218,24,F,0,1
3102,64,41024,6176,6,M,0,0
3103,22,54356,17598,36,M,0,0
3104,44,30358,13135,24,F,1,0
3105,54,62507,14907,36,F,1,0
3106,47,60561,1298,12,M,1,1
3107,61,51805,14428,6,F,0,0
3108,21,21225,13956,18,M,1,0
3109,28,67316,7968,18,M,1,0
3110,43,56556,9067,12,M,1,0
3111,58,49655,5086,6,F,1,0
3112,26,47290,8462,36,M,0,0
3113,42,41949,12823,12,F,1,0
3114,45,44832,6653,24,F,1,0
3115,38,61538,10180,36,M,0,0
3116,37,42249,22728,24,F,1,1
3117,32,45885,5106,24,M,0,0
3118,26,48086,11660,36,F,0,0
3119,46,48497,4830,24,M,1,0
3120,47,40732,2572,18,M,1,0
3121,28,47447,13996,36,M,1,0
3122,39,55149,7965,12,M,1,1
3123,62,36427,17996,18,M,1,0
3124,21,47516,12839,12,F,1,0
3125,49,78964,6070,6,F,0,0
3126,55,49052,5615,12,M,1,0
3127,60,36043,13603,36,F,1,0
3128,34,34288,4735,12,F,1,0
3129,55,31022,4595,6,M,1,0
3130,40,74406,1403,24,M,0,0
3131,33,65120,13116,36,M,0,0
3132,58,30655,5951,18,M,1,0
3133,28,53205,11798,18,M,1,0
3134,63,68372,3488,12,F,1,0
3135,40,49392,1808,18,F,1,0
3136,53,42625,13598,6,F,1,0
3137,46,83613,9207,18,M,1,0
3138,59,21419,6608,12,F,1,0
3139,41,89488,7567,18,M,0,0
3140,62,50899,7585,24,M,1,0
3141,63,69356,20171,24,M,0,0
3142,61,31990,11327,18,M,0,1
3143,29,39116,10694,36,F,0,1
3144,44,33800,6232,18,M,1,0
3145,57,48484,13934,24,F,0,1
3146,61,54615,4238,24,M,1,1
3147,37,66002,12593,6,F,1,0
3148,44,24328,12620,12,F,1,1
3149,41,52353,15087,6,M,1,0
3150,59,63423,1000,36,F,0,0
3151,61,66232,15636,12,F,1,1
3152,59,43392,11769,18,M,1,0
3153,33,43578,6228,18,F,1,0
3154,31,48619,1000,36,F,1,1
3155,39,52790,7968,24,F,1,0
3156,31,69538,10934,18,M,1,0
3157,33,31848,2399,6,M,1,0
3158,21,38206,5744,24,F,0,0
3159,60,30028,3682,18,F,1,0
3160,64,56416,7826,24,F,1,1
3161,39,66520,4558,12,F,0,0
3162,32,28685,20851,18,M,1,0
3163,28,51330,14318,18,F,1,0
3164,28,65435,4472,24,F,1,0
3165,32,61768,5200,12,F,1,0
3166,53,61591,2595,6,M,1,0
3167,46,32151,9248,12,F,1,0
3168,59,61541,18875,6,F,0,1
3169,48,47211,15986,36,M,1,1
3170,25,66052,10990,12,F,0,0
3171,28,56737,8529,6,F,1,0
3172,45,37767,12757,24,F,1,0
3173,47,54182,11399,6,M,1,1
3174,43,62277,12164,36,M,1,1
3175,50,42404,10986,6,F,1,0
3176,43,51932,12224,12,F,0,0
3177,40,29950,2896,6,M,1,0
3178,38,58235,9398,12,M,0,0
3179,38,49156,11167,36,F,1,1
3180,22,63711,7824,6,F,0,0
3181,24,57813,3761,6,F,1,0
3182,50,43892,10026,36,M,0,0
3183,53,37304,30739,6,M,0,0
3184,56,33853,5884,12,M,0,0
3185,38,42388,9288,18,M,1,0
3186,57,63306,16306,18,M,0,0
3187,39,23655,18865,12,F,1,0
3188,48,34464,7083,6,F,1,0
3189,60,62884,14823,12,F,1,0
3190,40,69934,13956,36,M,1,0
3191,53,35252,7468,12,F,1,0
3192,32,34297,13124,18,M,1,0
3193,35,71107,9134,24,M,1,1
3194,61,48146,6866,36,F,1,1
3195,59,36581,18595,6,F,1,0
3196,22,65669,13246,12,F,1,0
3197,49,57552,1591,36,F,1,1
3198,61,61049,9361,18,F,0,1
3199,30,37363,7402,6,M,1,0
3200,22,55622,8946,12,M,1,0
3201,31,68694,12579,12,M,1,0
3202,33,59611,11467,6,F,0,0
3203,30,63798,17170,24,F,1,0
3204,34,71047,16109,24,F,1,0
3205,38,56415,3930,36,F,0,0
3206,29,41523,9508,12,M,1,0
3207,59,63156,1000,36,F,1,0
3208,48,33414,5016,6,F,1,0
3209,23,46665,1000,36,F,1,0
3210,40,58821,2160,12,F,1,0
3211,26,1739,17000,24,F,1,0
3212,47,53786,13763,24,M,0,0
3213,22,54494,13085,6,F,1,0
3214,49,32960,15876,18,F,0,0
3215,58,54887,13063,36,F,0,0
3216,23,52849,9576,6,M,1,0
3217,36,50509,7053,24,F,0,0
3218,50,67841,18478,12,M,1,1
3219,60,63183,16531,12,M,1,0
3220,22,59599,8902,18,F,1,0
3221,37,34636,13819,18,F,0,0
3222,61,49739,1000,24,F,1,0
3223,32,67766,14071,18,F,1,0
3224,55,46780,7496,18,M,0,0
3225,63,73313,23562,12,M,1,0
3226,21,60037,15753,36,M,1,1
3227,35,75643,1000,12,M,1,0
3228,46,33990,6443,12,F,1,0
3229,57,47680,10302,24,F,1,1
3230,41,49098,9787,24,M,1,0
3231,51,59092,9561,36,M,1,0
3232,45,38921,14923,6,M,1,0
3233,43,25885,7296,18,M,1,0
3234,44,55672,9638,18,F,1,0
3235,58,44502,17630,12,M,1,0
3236,48,42939,17711,12,M,0,0
3237,41,39607,14888,36,M,1,0
3238,63,51858,8251,18,M,1,1
3239,38,33847,6463,12,F,1,1
3240,56,47087,9793,12,M,0,0
3241,55,37569,10142,24,M,1,0
3242,29,40862,9823,6,M,1,1
3243,58,55307,12781,36,M,0,0
3244,50,59771,11803,6,M,0,1
3245,64,45408,11594,6,F,1,1
3246,54,64517,7666,36,M,1,0
3247,52,35409,4005,18,M,1,0
3248,23,27201,13473,12,M,1,0
3249,23,29955,10303,36,M,1,0
3250,48,33868,12044,12,F,1,0
3251,64,30306,12183,24,F,1,0
3252,35,80317,1000,6,F,0,0
3253,61,26746,18607,24,M,1,0
3254,43,64061,7174,6,F,0,1
3255,60,49623,16869,18,M,1,0
3256,31,53369,12123,36,F,1,0
3257,52,36414,4607,18,F,1,0
3258,56,54881,6461,6,F,0,0
3259,53,36291,6554,24,F,0,1
3260,44,63841,6841,6,M,0,1
3261,59,65082,1153,18,F,1,0
3262,54,47977,6007,18,F,1,0
3263,48,48959,14836,24,M,0,0
3264,57,56490,15348,24,F,1,0
3265,27,55724,6618,18,F,1,0
3266,24,65362,1000,6,F,1,0
3267,57,64937,13154,6,M,1,1
3268,21,49567,4606,36,M,1,0
3269,21,42841,4996,18,F,1,0
3270,40,62174,8585,36,F,0,1
3271,39,47655,8117,18,M,0,0
3272,49,51706,6051,36,M,1,0
3273,30,57954,6503,12,F,1,0
3274,38,64633,7490,6,M,1,0
3275,48,53912,6430,6,F,0,0
3276,55,41192,6744,12,M,0,1
3277,63,76955,8471,24,M,1,0
3278,51,72955,11766,12,F,0,0
3279,47,34729,11245,6,F,1,0
3280,31,36323,7289,18,F,1,0
3281,58,38209,8416,36,M,0,0
3282,25,62728,16721,6,F,1,0
3283,28,77527,14933,12,F,1,0
3284,54,42405,12741,18,M,1,0
3285,32,52539,1143,6,M,0,0
3286,58,38710,10535,12,F,0,0
3287,21,75502,6622,6,M,0,0
3288,51,62372,5217,12,F,1,0
3289,24,37630,8201,12,M,1,0
3290,25,18464,15235,6,M,1,0
3291,50,65563,14441,18,M,0,0
3292,44,41412,6902,6,M,0,1
3293,23,62640,10423,6,F,1,0
3294,31,54405,7892,18,M,1,1
3295,24,22485,8799,6,F,1,0
3296,46,37898,14987,36,M,1,0
3297,47,44687,9684,36,F,1,0
3298,63,39863,1214,36,F,0,0
3299,47,51742,10693,12,M,1,0
3300,62,56020,19081,24,F,0,0
3301,26,76840,6500,6,F,1,0
3302,35,57083,17742,24,F,1,1
3303,50,72366,13087,36,F,0,0
3304,62,42847,15881,18,F,1,0
3305,57,67478,14377,36,F,1,0
3306,57,44282,10888,6,M,0,0
3307,62,36244,6933,24,F,1,0
3308,57,35610,10878,24,F,1,0
3309,55,10370,11165,12,F,0,0
3310,43,62811,14857,18,M,1,1
3311,26,30647,1000,36,M,1,0
3312,24,71122,2850,18,M,1,0
3313,38,47386,11181,6,F,1,0
3314,29,26677,11663,12,M,0,0
3315,49,33234,5663,36,M,1,0
3316,33,52859,11786,6,M,1,0
3317,37,21800,13391,18,F,0,0
3318,52,58849,9026,12,M,1,0
3319,42,27255,17147,36,M,1,0
3320,24,38915,18082,18,F,1,0
3321,25,52980,10608,36,F,1,0
3322,57,57014,14204,12,M,1,0
3323,61,61965,1518,12,F,0,0
3324,33,30401,15366,18,M,0,0
3325,54,45373,17329,36,F,0,0
3326,42,66394,4922,24,M,1,0
3327,43,45376,13083,6,F,0,0
3328,23,54414,1000,12,F,1,0
3329,62,52436,6066,36,F,0,0
3330,54,69518,7398,18,M,0,0
3331,52,43011,2626,18,M,1,0
3332,41,29150,8810,12,M,1,0
3333,64,35481,8480,12,F,1,0
3334,41,52832,13083,24,F,0,0
3335,64,26456,2430,18,M,0,0
3336,31,41833,13116,36,F,1,0
3337,59,51131,6054,6,M,0,0
3338,24,38501,3607,6,M,1,0
3339,21,54902,9018,24,M,1,0
3340,48,60866,13763,36,F,0,0
3341,44,56823,7578,6,M,1,0
3342,55,26787,12569,6,M,1,1
3343,33,51187,11394,36,M,1,0
3344,54,52361,25673,36,M,1,0
3345,31,44286,8437,12,M,1,0
3346,56,54699,9167,6,F,1,0
3347,37,54161,15539,6,F,1,0
3348,55,48636,9741,24,M,1,0
3349,38,34935,11254,12,M,1,0
3350,60,49600,1216,12,M,0,0
3351,42,78003,9390,6,M,1,0
3352,44,44115,6474,18,F,1,0
3353,39,65709,7602,18,F,1,1
3354,57,50582,11282,36,M,0,0
3355,59,37989,9725,12,F,0,0
3356,41,45551,13860,6,F,1,0
3357,28,49746,14769,6,M,1,0
3358,48,59828,9113,6,M,1,1
3359,25,85700,11497,24,M,1,0
3360,37,50819,1000,18,M,1,0
3361,57,31537,11572,24,M,1,0
3362,56,25181,15265,6,F,0,0
3363,39,43673,5451,6,F,0,0
3364,47,33078,13777,12,F,1,1
3365,54,58368,7740,12,F,1,0
3366,31,58478,7116,18,M,0,0
3367,32,47810,17120,36,F,0,1
3368,41,59860,9835,6,M,1,0
3369,31,50971,14334,12,F,1,0
3370,59,78013,1000,18,M,1,0
3371,48,59391,6950,24,F,1,1
3372,25,63434,13557,6,F,0,0
3373,37,28278,10622,36,F,1,0
3374,40,32431,9080,18,M,0,1
3375,61,57182,13019,36,M,1,0
3376,32,26761,5843,6,F,0,0
3377,26,40632,16086,18,M,1,0
3378,37,67691,8937,12,F,1,0
3379,39,40312,5921,36,F,1,0
3380,46,31854,6249,24,M,0,0
3381,64,60013,9592,24,M,1,0
3382,64,81102,7867,36,F,1,0
3383,52,37870,12630,6,F,1,0
3384,26,68360,9768,6,F,1,0
3385,56,36002,8220,6,F,0,0
3386,58,48312,11766,24,F,1,0
3387,31,48963,7352,24,F,0,0
3388,53,38270,12456,12,F,0,0
3389,44,63130,11631,6,M,0,0
3390,43,26904,11426,24,M,0,0
3391,35,52925,8210,24,M,1,0
3392,47,66112,6851,6,M,1,0
3393,31,61882,14043,6,M,1,0
3394,37,57368,13070,24,M,1,0
3395,34,73779,4960,36,M,1,1
3396,47,46705,7835,24,F,0,0
3397,38,27129,16698,12,F,1,0
3398,48,52028,14920,18,M,1,0
3399,24,48113,4149,6,F,1,0
3400,27,18262,10059,12,M,1,0
3401,55,33123,12095,36,M,1,0
3402,29,31210,14968,18,M,1,0
3403,28,37782,10635,24,M,0,0
3404,37,44732,12419,6,F,1,0
3405,37,45306,14656,24,M,0,1
3406,53,38317,15328,12,M,1,0
3407,52,31190,9096,6,M,1,0
3408,28,55661,10227,24,F,1,1
3409,39,51748,6209,6,F,1,0
3410,58,52200,8634,12,M,1,0
3411,23,76685,7962,24,F,0,0
3412,25,52443,9056,18,M,0,0
3413,33,44500,9528,36,F,0,0
3414,51,48412,14066,24,M,1,1
3415,36,51482,11746,6,M,1,0
3416,52,59236,3600,24,M,1,0
3417,42,49329,12751,6,F,1,0
3418,49,20856,7256,12,F,1,0
3419,42,43448,4552,36,M,1,0
3420,63,50022,4288,6,F,1,0
3421,23,69563,10848,24,F,1,1
3422,30,38211,15304,12,M,0,0
3423,62,25471,8945,18,M,0,0
3424,41,50965,14686,24,F,0,1
3425,36,62993,10428,36,M,1,0
3426,32,44098,1000,12,F,1,0
3427,22,85745,13060,24,M,1,0
3428,61,82212,7289,6,M,1,0
3429,44,48912,5947,6,M,1,0
3430,55,52800,13089,6,M,1,0
3431,50,70530,10669,24,M,1,0
3432,50,48652,9663,36,M,1,0
